"Region","Age","year","PopSize","ageGroup2","ageGroup3","ageGroup5","ageGroup6","ageGroup7"
"East of England",0,2001,61068,"children","<2","<5","<2","<2"
"East of England",0,2002,60303,"children","<2","<5","<2","<2"
"East of England",0,2003,61898,"children","<2","<5","<2","<2"
"East of England",0,2004,64344,"children","<2","<5","<2","<2"
"East of England",0,2005,64775,"children","<2","<5","<2","<2"
"East of England",0,2006,66081,"children","<2","<5","<2","<2"
"East of England",0,2007,68261,"children","<2","<5","<2","<2"
"East of England",0,2008,71656,"children","<2","<5","<2","<2"
"East of England",0,2009,71228,"children","<2","<5","<2","<2"
"East of England",0,2010,72057,"children","<2","<5","<2","<2"
"East of England",0,2011,73033,"children","<2","<5","<2","<2"
"East of England",0,2012,74083,"children","<2","<5","<2","<2"
"East of England",0,2013,72470,"children","<2","<5","<2","<2"
"East of England",0,2014,71695,"children","<2","<5","<2","<2"
"East of England",0,2015,71736,"children","<2","<5","<2","<2"
"East of England",0,2016,73036,"children","<2","<5","<2","<2"
"East of England",0,2017,70723,"children","<2","<5","<2","<2"
"East of England",0,2018,69740,"children","<2","<5","<2","<2"
"East of England",0,2019,67772,"children","<2","<5","<2","<2"
"East of England",0,2020,66792,"children","<2","<5","<2","<2"
"East of England",0,2021,64755,"children","<2","<5","<2","<2"
"East of England",0,2022,67001,"children","<2","<5","<2","<2"
"East of England",0,2023,64042,"children","<2","<5","<2","<2"
"East of England",0,2024,64042,"children","<2","<5","<2","<2"
"East of England",1,2001,62264,"children","<2","<5","<2","<2"
"East of England",1,2002,61860,"children","<2","<5","<2","<2"
"East of England",1,2003,60967,"children","<2","<5","<2","<2"
"East of England",1,2004,62324,"children","<2","<5","<2","<2"
"East of England",1,2005,64842,"children","<2","<5","<2","<2"
"East of England",1,2006,65153,"children","<2","<5","<2","<2"
"East of England",1,2007,66985,"children","<2","<5","<2","<2"
"East of England",1,2008,68989,"children","<2","<5","<2","<2"
"East of England",1,2009,72106,"children","<2","<5","<2","<2"
"East of England",1,2010,71749,"children","<2","<5","<2","<2"
"East of England",1,2011,72836,"children","<2","<5","<2","<2"
"East of England",1,2012,74203,"children","<2","<5","<2","<2"
"East of England",1,2013,74961,"children","<2","<5","<2","<2"
"East of England",1,2014,73888,"children","<2","<5","<2","<2"
"East of England",1,2015,73091,"children","<2","<5","<2","<2"
"East of England",1,2016,72731,"children","<2","<5","<2","<2"
"East of England",1,2017,73913,"children","<2","<5","<2","<2"
"East of England",1,2018,71512,"children","<2","<5","<2","<2"
"East of England",1,2019,70632,"children","<2","<5","<2","<2"
"East of England",1,2020,68720,"children","<2","<5","<2","<2"
"East of England",1,2021,68440,"children","<2","<5","<2","<2"
"East of England",1,2022,66974,"children","<2","<5","<2","<2"
"East of England",1,2023,69819,"children","<2","<5","<2","<2"
"East of England",1,2024,69819,"children","<2","<5","<2","<2"
"East of England",2,2001,64552,"children","2-64","<5","2-4","2-4"
"East of England",2,2002,62756,"children","2-64","<5","2-4","2-4"
"East of England",2,2003,62414,"children","2-64","<5","2-4","2-4"
"East of England",2,2004,61427,"children","2-64","<5","2-4","2-4"
"East of England",2,2005,62737,"children","2-64","<5","2-4","2-4"
"East of England",2,2006,65260,"children","2-64","<5","2-4","2-4"
"East of England",2,2007,65770,"children","2-64","<5","2-4","2-4"
"East of England",2,2008,67781,"children","2-64","<5","2-4","2-4"
"East of England",2,2009,69613,"children","2-64","<5","2-4","2-4"
"East of England",2,2010,72790,"children","2-64","<5","2-4","2-4"
"East of England",2,2011,72557,"children","2-64","<5","2-4","2-4"
"East of England",2,2012,73817,"children","2-64","<5","2-4","2-4"
"East of England",2,2013,75082,"children","2-64","<5","2-4","2-4"
"East of England",2,2014,76162,"children","2-64","<5","2-4","2-4"
"East of England",2,2015,74904,"children","2-64","<5","2-4","2-4"
"East of England",2,2016,73913,"children","2-64","<5","2-4","2-4"
"East of England",2,2017,73350,"children","2-64","<5","2-4","2-4"
"East of England",2,2018,74286,"children","2-64","<5","2-4","2-4"
"East of England",2,2019,72068,"children","2-64","<5","2-4","2-4"
"East of England",2,2020,71070,"children","2-64","<5","2-4","2-4"
"East of England",2,2021,69823,"children","2-64","<5","2-4","2-4"
"East of England",2,2022,70545,"children","2-64","<5","2-4","2-4"
"East of England",2,2023,69616,"children","2-64","<5","2-4","2-4"
"East of England",2,2024,69616,"children","2-64","<5","2-4","2-4"
"East of England",3,2001,65831,"children","2-64","<5","2-4","2-4"
"East of England",3,2002,65099,"children","2-64","<5","2-4","2-4"
"East of England",3,2003,63370,"children","2-64","<5","2-4","2-4"
"East of England",3,2004,62900,"children","2-64","<5","2-4","2-4"
"East of England",3,2005,61785,"children","2-64","<5","2-4","2-4"
"East of England",3,2006,63008,"children","2-64","<5","2-4","2-4"
"East of England",3,2007,65731,"children","2-64","<5","2-4","2-4"
"East of England",3,2008,66305,"children","2-64","<5","2-4","2-4"
"East of England",3,2009,68342,"children","2-64","<5","2-4","2-4"
"East of England",3,2010,70200,"children","2-64","<5","2-4","2-4"
"East of England",3,2011,73497,"children","2-64","<5","2-4","2-4"
"East of England",3,2012,73322,"children","2-64","<5","2-4","2-4"
"East of England",3,2013,74500,"children","2-64","<5","2-4","2-4"
"East of England",3,2014,76103,"children","2-64","<5","2-4","2-4"
"East of England",3,2015,77194,"children","2-64","<5","2-4","2-4"
"East of England",3,2016,75525,"children","2-64","<5","2-4","2-4"
"East of England",3,2017,74255,"children","2-64","<5","2-4","2-4"
"East of England",3,2018,73635,"children","2-64","<5","2-4","2-4"
"East of England",3,2019,74746,"children","2-64","<5","2-4","2-4"
"East of England",3,2020,72340,"children","2-64","<5","2-4","2-4"
"East of England",3,2021,71627,"children","2-64","<5","2-4","2-4"
"East of England",3,2022,71700,"children","2-64","<5","2-4","2-4"
"East of England",3,2023,72603,"children","2-64","<5","2-4","2-4"
"East of England",3,2024,72603,"children","2-64","<5","2-4","2-4"
"East of England",4,2001,67452,"children","2-64","<5","2-4","2-4"
"East of England",4,2002,66499,"children","2-64","<5","2-4","2-4"
"East of England",4,2003,65795,"children","2-64","<5","2-4","2-4"
"East of England",4,2004,64004,"children","2-64","<5","2-4","2-4"
"East of England",4,2005,63463,"children","2-64","<5","2-4","2-4"
"East of England",4,2006,62087,"children","2-64","<5","2-4","2-4"
"East of England",4,2007,63270,"children","2-64","<5","2-4","2-4"
"East of England",4,2008,65975,"children","2-64","<5","2-4","2-4"
"East of England",4,2009,66454,"children","2-64","<5","2-4","2-4"
"East of England",4,2010,68958,"children","2-64","<5","2-4","2-4"
"East of England",4,2011,70763,"children","2-64","<5","2-4","2-4"
"East of England",4,2012,74048,"children","2-64","<5","2-4","2-4"
"East of England",4,2013,73910,"children","2-64","<5","2-4","2-4"
"East of England",4,2014,75343,"children","2-64","<5","2-4","2-4"
"East of England",4,2015,76977,"children","2-64","<5","2-4","2-4"
"East of England",4,2016,77761,"children","2-64","<5","2-4","2-4"
"East of England",4,2017,75846,"children","2-64","<5","2-4","2-4"
"East of England",4,2018,74391,"children","2-64","<5","2-4","2-4"
"East of England",4,2019,73958,"children","2-64","<5","2-4","2-4"
"East of England",4,2020,75007,"children","2-64","<5","2-4","2-4"
"East of England",4,2021,72870,"children","2-64","<5","2-4","2-4"
"East of England",4,2022,73406,"children","2-64","<5","2-4","2-4"
"East of England",4,2023,73714,"children","2-64","<5","2-4","2-4"
"East of England",4,2024,73714,"children","2-64","<5","2-4","2-4"
"East of England",5,2001,67149,"children","2-64","5-18","5-14","5-14"
"East of England",5,2002,67944,"children","2-64","5-18","5-14","5-14"
"East of England",5,2003,67068,"children","2-64","5-18","5-14","5-14"
"East of England",5,2004,66420,"children","2-64","5-18","5-14","5-14"
"East of England",5,2005,64324,"children","2-64","5-18","5-14","5-14"
"East of England",5,2006,63673,"children","2-64","5-18","5-14","5-14"
"East of England",5,2007,62408,"children","2-64","5-18","5-14","5-14"
"East of England",5,2008,63527,"children","2-64","5-18","5-14","5-14"
"East of England",5,2009,66332,"children","2-64","5-18","5-14","5-14"
"East of England",5,2010,66757,"children","2-64","5-18","5-14","5-14"
"East of England",5,2011,69396,"children","2-64","5-18","5-14","5-14"
"East of England",5,2012,71233,"children","2-64","5-18","5-14","5-14"
"East of England",5,2013,74522,"children","2-64","5-18","5-14","5-14"
"East of England",5,2014,74795,"children","2-64","5-18","5-14","5-14"
"East of England",5,2015,76074,"children","2-64","5-18","5-14","5-14"
"East of England",5,2016,77315,"children","2-64","5-18","5-14","5-14"
"East of England",5,2017,78134,"children","2-64","5-18","5-14","5-14"
"East of England",5,2018,76047,"children","2-64","5-18","5-14","5-14"
"East of England",5,2019,74640,"children","2-64","5-18","5-14","5-14"
"East of England",5,2020,74028,"children","2-64","5-18","5-14","5-14"
"East of England",5,2021,75572,"children","2-64","5-18","5-14","5-14"
"East of England",5,2022,74600,"children","2-64","5-18","5-14","5-14"
"East of England",5,2023,75384,"children","2-64","5-18","5-14","5-14"
"East of England",5,2024,75384,"children","2-64","5-18","5-14","5-14"
"East of England",6,2001,67550,"children","2-64","5-18","5-14","5-14"
"East of England",6,2002,67667,"children","2-64","5-18","5-14","5-14"
"East of England",6,2003,68553,"children","2-64","5-18","5-14","5-14"
"East of England",6,2004,67576,"children","2-64","5-18","5-14","5-14"
"East of England",6,2005,66739,"children","2-64","5-18","5-14","5-14"
"East of England",6,2006,64777,"children","2-64","5-18","5-14","5-14"
"East of England",6,2007,63991,"children","2-64","5-18","5-14","5-14"
"East of England",6,2008,62691,"children","2-64","5-18","5-14","5-14"
"East of England",6,2009,63736,"children","2-64","5-18","5-14","5-14"
"East of England",6,2010,66497,"children","2-64","5-18","5-14","5-14"
"East of England",6,2011,66756,"children","2-64","5-18","5-14","5-14"
"East of England",6,2012,69790,"children","2-64","5-18","5-14","5-14"
"East of England",6,2013,71470,"children","2-64","5-18","5-14","5-14"
"East of England",6,2014,75215,"children","2-64","5-18","5-14","5-14"
"East of England",6,2015,75365,"children","2-64","5-18","5-14","5-14"
"East of England",6,2016,76442,"children","2-64","5-18","5-14","5-14"
"East of England",6,2017,77537,"children","2-64","5-18","5-14","5-14"
"East of England",6,2018,78250,"children","2-64","5-18","5-14","5-14"
"East of England",6,2019,76237,"children","2-64","5-18","5-14","5-14"
"East of England",6,2020,74618,"children","2-64","5-18","5-14","5-14"
"East of England",6,2021,74288,"children","2-64","5-18","5-14","5-14"
"East of England",6,2022,76949,"children","2-64","5-18","5-14","5-14"
"East of England",6,2023,76314,"children","2-64","5-18","5-14","5-14"
"East of England",6,2024,76314,"children","2-64","5-18","5-14","5-14"
"East of England",7,2001,69207,"children","2-64","5-18","5-14","5-14"
"East of England",7,2002,67888,"children","2-64","5-18","5-14","5-14"
"East of England",7,2003,68458,"children","2-64","5-18","5-14","5-14"
"East of England",7,2004,69184,"children","2-64","5-18","5-14","5-14"
"East of England",7,2005,67967,"children","2-64","5-18","5-14","5-14"
"East of England",7,2006,67041,"children","2-64","5-18","5-14","5-14"
"East of England",7,2007,65164,"children","2-64","5-18","5-14","5-14"
"East of England",7,2008,64347,"children","2-64","5-18","5-14","5-14"
"East of England",7,2009,63007,"children","2-64","5-18","5-14","5-14"
"East of England",7,2010,63965,"children","2-64","5-18","5-14","5-14"
"East of England",7,2011,66592,"children","2-64","5-18","5-14","5-14"
"East of England",7,2012,67306,"children","2-64","5-18","5-14","5-14"
"East of England",7,2013,70111,"children","2-64","5-18","5-14","5-14"
"East of England",7,2014,72107,"children","2-64","5-18","5-14","5-14"
"East of England",7,2015,75895,"children","2-64","5-18","5-14","5-14"
"East of England",7,2016,75783,"children","2-64","5-18","5-14","5-14"
"East of England",7,2017,76820,"children","2-64","5-18","5-14","5-14"
"East of England",7,2018,77592,"children","2-64","5-18","5-14","5-14"
"East of England",7,2019,78347,"children","2-64","5-18","5-14","5-14"
"East of England",7,2020,76361,"children","2-64","5-18","5-14","5-14"
"East of England",7,2021,74904,"children","2-64","5-18","5-14","5-14"
"East of England",7,2022,75895,"children","2-64","5-18","5-14","5-14"
"East of England",7,2023,78677,"children","2-64","5-18","5-14","5-14"
"East of England",7,2024,78677,"children","2-64","5-18","5-14","5-14"
"East of England",8,2001,68910,"children","2-64","5-18","5-14","5-14"
"East of England",8,2002,69999,"children","2-64","5-18","5-14","5-14"
"East of England",8,2003,68461,"children","2-64","5-18","5-14","5-14"
"East of England",8,2004,69038,"children","2-64","5-18","5-14","5-14"
"East of England",8,2005,69620,"children","2-64","5-18","5-14","5-14"
"East of England",8,2006,68404,"children","2-64","5-18","5-14","5-14"
"East of England",8,2007,67499,"children","2-64","5-18","5-14","5-14"
"East of England",8,2008,65683,"children","2-64","5-18","5-14","5-14"
"East of England",8,2009,64756,"children","2-64","5-18","5-14","5-14"
"East of England",8,2010,63276,"children","2-64","5-18","5-14","5-14"
"East of England",8,2011,64116,"children","2-64","5-18","5-14","5-14"
"East of England",8,2012,67204,"children","2-64","5-18","5-14","5-14"
"East of England",8,2013,67913,"children","2-64","5-18","5-14","5-14"
"East of England",8,2014,70637,"children","2-64","5-18","5-14","5-14"
"East of England",8,2015,72700,"children","2-64","5-18","5-14","5-14"
"East of England",8,2016,76398,"children","2-64","5-18","5-14","5-14"
"East of England",8,2017,76162,"children","2-64","5-18","5-14","5-14"
"East of England",8,2018,76990,"children","2-64","5-18","5-14","5-14"
"East of England",8,2019,77895,"children","2-64","5-18","5-14","5-14"
"East of England",8,2020,78405,"children","2-64","5-18","5-14","5-14"
"East of England",8,2021,76657,"children","2-64","5-18","5-14","5-14"
"East of England",8,2022,76474,"children","2-64","5-18","5-14","5-14"
"East of England",8,2023,77248,"children","2-64","5-18","5-14","5-14"
"East of England",8,2024,77248,"children","2-64","5-18","5-14","5-14"
"East of England",9,2001,70674,"children","2-64","5-18","5-14","5-14"
"East of England",9,2002,69478,"children","2-64","5-18","5-14","5-14"
"East of England",9,2003,70607,"children","2-64","5-18","5-14","5-14"
"East of England",9,2004,69016,"children","2-64","5-18","5-14","5-14"
"East of England",9,2005,69517,"children","2-64","5-18","5-14","5-14"
"East of England",9,2006,70029,"children","2-64","5-18","5-14","5-14"
"East of England",9,2007,68876,"children","2-64","5-18","5-14","5-14"
"East of England",9,2008,67933,"children","2-64","5-18","5-14","5-14"
"East of England",9,2009,66120,"children","2-64","5-18","5-14","5-14"
"East of England",9,2010,65184,"children","2-64","5-18","5-14","5-14"
"East of England",9,2011,63403,"children","2-64","5-18","5-14","5-14"
"East of England",9,2012,64600,"children","2-64","5-18","5-14","5-14"
"East of England",9,2013,67857,"children","2-64","5-18","5-14","5-14"
"East of England",9,2014,68600,"children","2-64","5-18","5-14","5-14"
"East of England",9,2015,71036,"children","2-64","5-18","5-14","5-14"
"East of England",9,2016,73053,"children","2-64","5-18","5-14","5-14"
"East of England",9,2017,76666,"children","2-64","5-18","5-14","5-14"
"East of England",9,2018,76446,"children","2-64","5-18","5-14","5-14"
"East of England",9,2019,77287,"children","2-64","5-18","5-14","5-14"
"East of England",9,2020,78072,"children","2-64","5-18","5-14","5-14"
"East of England",9,2021,78683,"children","2-64","5-18","5-14","5-14"
"East of England",9,2022,78089,"children","2-64","5-18","5-14","5-14"
"East of England",9,2023,77812,"children","2-64","5-18","5-14","5-14"
"East of England",9,2024,77812,"children","2-64","5-18","5-14","5-14"
"East of England",10,2001,71739,"children","2-64","5-18","5-14","5-14"
"East of England",10,2002,71175,"children","2-64","5-18","5-14","5-14"
"East of England",10,2003,70043,"children","2-64","5-18","5-14","5-14"
"East of England",10,2004,71110,"children","2-64","5-18","5-14","5-14"
"East of England",10,2005,69500,"children","2-64","5-18","5-14","5-14"
"East of England",10,2006,70065,"children","2-64","5-18","5-14","5-14"
"East of England",10,2007,70560,"children","2-64","5-18","5-14","5-14"
"East of England",10,2008,69382,"children","2-64","5-18","5-14","5-14"
"East of England",10,2009,68336,"children","2-64","5-18","5-14","5-14"
"East of England",10,2010,66580,"children","2-64","5-18","5-14","5-14"
"East of England",10,2011,65420,"children","2-64","5-18","5-14","5-14"
"East of England",10,2012,64048,"children","2-64","5-18","5-14","5-14"
"East of England",10,2013,65189,"children","2-64","5-18","5-14","5-14"
"East of England",10,2014,68559,"children","2-64","5-18","5-14","5-14"
"East of England",10,2015,69203,"children","2-64","5-18","5-14","5-14"
"East of England",10,2016,71425,"children","2-64","5-18","5-14","5-14"
"East of England",10,2017,73316,"children","2-64","5-18","5-14","5-14"
"East of England",10,2018,76967,"children","2-64","5-18","5-14","5-14"
"East of England",10,2019,76763,"children","2-64","5-18","5-14","5-14"
"East of England",10,2020,77605,"children","2-64","5-18","5-14","5-14"
"East of England",10,2021,78522,"children","2-64","5-18","5-14","5-14"
"East of England",10,2022,79892,"children","2-64","5-18","5-14","5-14"
"East of England",10,2023,79329,"children","2-64","5-18","5-14","5-14"
"East of England",10,2024,79329,"children","2-64","5-18","5-14","5-14"
"East of England",11,2001,70836,"children","2-64","5-18","5-14","5-14"
"East of England",11,2002,72368,"children","2-64","5-18","5-14","5-14"
"East of England",11,2003,71648,"children","2-64","5-18","5-14","5-14"
"East of England",11,2004,70406,"children","2-64","5-18","5-14","5-14"
"East of England",11,2005,71679,"children","2-64","5-18","5-14","5-14"
"East of England",11,2006,70041,"children","2-64","5-18","5-14","5-14"
"East of England",11,2007,70631,"children","2-64","5-18","5-14","5-14"
"East of England",11,2008,71004,"children","2-64","5-18","5-14","5-14"
"East of England",11,2009,69774,"children","2-64","5-18","5-14","5-14"
"East of England",11,2010,68874,"children","2-64","5-18","5-14","5-14"
"East of England",11,2011,66925,"children","2-64","5-18","5-14","5-14"
"East of England",11,2012,65799,"children","2-64","5-18","5-14","5-14"
"East of England",11,2013,64675,"children","2-64","5-18","5-14","5-14"
"East of England",11,2014,65882,"children","2-64","5-18","5-14","5-14"
"East of England",11,2015,69215,"children","2-64","5-18","5-14","5-14"
"East of England",11,2016,69860,"children","2-64","5-18","5-14","5-14"
"East of England",11,2017,71795,"children","2-64","5-18","5-14","5-14"
"East of England",11,2018,73535,"children","2-64","5-18","5-14","5-14"
"East of England",11,2019,77381,"children","2-64","5-18","5-14","5-14"
"East of England",11,2020,76984,"children","2-64","5-18","5-14","5-14"
"East of England",11,2021,78005,"children","2-64","5-18","5-14","5-14"
"East of England",11,2022,79901,"children","2-64","5-18","5-14","5-14"
"East of England",11,2023,81311,"children","2-64","5-18","5-14","5-14"
"East of England",11,2024,81311,"children","2-64","5-18","5-14","5-14"
"East of England",12,2001,70117,"children","2-64","5-18","5-14","5-14"
"East of England",12,2002,71153,"children","2-64","5-18","5-14","5-14"
"East of England",12,2003,72817,"children","2-64","5-18","5-14","5-14"
"East of England",12,2004,71852,"children","2-64","5-18","5-14","5-14"
"East of England",12,2005,70837,"children","2-64","5-18","5-14","5-14"
"East of England",12,2006,72142,"children","2-64","5-18","5-14","5-14"
"East of England",12,2007,70636,"children","2-64","5-18","5-14","5-14"
"East of England",12,2008,71096,"children","2-64","5-18","5-14","5-14"
"East of England",12,2009,71408,"children","2-64","5-18","5-14","5-14"
"East of England",12,2010,70215,"children","2-64","5-18","5-14","5-14"
"East of England",12,2011,69203,"children","2-64","5-18","5-14","5-14"
"East of England",12,2012,67327,"children","2-64","5-18","5-14","5-14"
"East of England",12,2013,66240,"children","2-64","5-18","5-14","5-14"
"East of England",12,2014,65375,"children","2-64","5-18","5-14","5-14"
"East of England",12,2015,66597,"children","2-64","5-18","5-14","5-14"
"East of England",12,2016,69840,"children","2-64","5-18","5-14","5-14"
"East of England",12,2017,70458,"children","2-64","5-18","5-14","5-14"
"East of England",12,2018,72004,"children","2-64","5-18","5-14","5-14"
"East of England",12,2019,73830,"children","2-64","5-18","5-14","5-14"
"East of England",12,2020,77545,"children","2-64","5-18","5-14","5-14"
"East of England",12,2021,77364,"children","2-64","5-18","5-14","5-14"
"East of England",12,2022,79096,"children","2-64","5-18","5-14","5-14"
"East of England",12,2023,81159,"children","2-64","5-18","5-14","5-14"
"East of England",12,2024,81159,"children","2-64","5-18","5-14","5-14"
"East of England",13,2001,70645,"children","2-64","5-18","5-14","5-14"
"East of England",13,2002,70444,"children","2-64","5-18","5-14","5-14"
"East of England",13,2003,71554,"children","2-64","5-18","5-14","5-14"
"East of England",13,2004,72989,"children","2-64","5-18","5-14","5-14"
"East of England",13,2005,72049,"children","2-64","5-18","5-14","5-14"
"East of England",13,2006,71176,"children","2-64","5-18","5-14","5-14"
"East of England",13,2007,72659,"children","2-64","5-18","5-14","5-14"
"East of England",13,2008,71091,"children","2-64","5-18","5-14","5-14"
"East of England",13,2009,71563,"children","2-64","5-18","5-14","5-14"
"East of England",13,2010,71800,"children","2-64","5-18","5-14","5-14"
"East of England",13,2011,70482,"children","2-64","5-18","5-14","5-14"
"East of England",13,2012,69441,"children","2-64","5-18","5-14","5-14"
"East of England",13,2013,67671,"children","2-64","5-18","5-14","5-14"
"East of England",13,2014,66778,"children","2-64","5-18","5-14","5-14"
"East of England",13,2015,66055,"children","2-64","5-18","5-14","5-14"
"East of England",13,2016,67263,"children","2-64","5-18","5-14","5-14"
"East of England",13,2017,70400,"children","2-64","5-18","5-14","5-14"
"East of England",13,2018,70862,"children","2-64","5-18","5-14","5-14"
"East of England",13,2019,72242,"children","2-64","5-18","5-14","5-14"
"East of England",13,2020,73951,"children","2-64","5-18","5-14","5-14"
"East of England",13,2021,77887,"children","2-64","5-18","5-14","5-14"
"East of England",13,2022,78353,"children","2-64","5-18","5-14","5-14"
"East of England",13,2023,80226,"children","2-64","5-18","5-14","5-14"
"East of England",13,2024,80226,"children","2-64","5-18","5-14","5-14"
"East of England",14,2001,68190,"children","2-64","5-18","5-14","5-14"
"East of England",14,2002,70647,"children","2-64","5-18","5-14","5-14"
"East of England",14,2003,70731,"children","2-64","5-18","5-14","5-14"
"East of England",14,2004,71445,"children","2-64","5-18","5-14","5-14"
"East of England",14,2005,73145,"children","2-64","5-18","5-14","5-14"
"East of England",14,2006,72029,"children","2-64","5-18","5-14","5-14"
"East of England",14,2007,71432,"children","2-64","5-18","5-14","5-14"
"East of England",14,2008,73006,"children","2-64","5-18","5-14","5-14"
"East of England",14,2009,71355,"children","2-64","5-18","5-14","5-14"
"East of England",14,2010,71925,"children","2-64","5-18","5-14","5-14"
"East of England",14,2011,71972,"children","2-64","5-18","5-14","5-14"
"East of England",14,2012,70438,"children","2-64","5-18","5-14","5-14"
"East of England",14,2013,69581,"children","2-64","5-18","5-14","5-14"
"East of England",14,2014,67953,"children","2-64","5-18","5-14","5-14"
"East of England",14,2015,67191,"children","2-64","5-18","5-14","5-14"
"East of England",14,2016,66630,"children","2-64","5-18","5-14","5-14"
"East of England",14,2017,67711,"children","2-64","5-18","5-14","5-14"
"East of England",14,2018,70873,"children","2-64","5-18","5-14","5-14"
"East of England",14,2019,71225,"children","2-64","5-18","5-14","5-14"
"East of England",14,2020,72331,"children","2-64","5-18","5-14","5-14"
"East of England",14,2021,74173,"children","2-64","5-18","5-14","5-14"
"East of England",14,2022,78799,"children","2-64","5-18","5-14","5-14"
"East of England",14,2023,79383,"children","2-64","5-18","5-14","5-14"
"East of England",14,2024,79383,"children","2-64","5-18","5-14","5-14"
"East of England",15,2001,66682,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2002,68360,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2003,71086,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2004,71034,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2005,71860,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2006,73840,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2007,72437,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2008,72025,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2009,73724,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2010,71993,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2011,72537,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2012,72095,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2013,70681,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2014,70096,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2015,68436,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2016,67714,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2017,67342,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2018,68329,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2019,71389,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2020,71576,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2021,72621,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2022,75015,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2023,79794,"adults","2-64","5-18","15-44","15-30"
"East of England",15,2024,79794,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2001,67214,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2002,66819,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2003,68782,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2004,71477,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2005,71747,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2006,72317,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2007,74547,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2008,72937,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2009,72717,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2010,74495,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2011,72705,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2012,72812,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2013,72574,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2014,71161,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2015,70739,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2016,69056,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2017,68249,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2018,67921,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2019,68829,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2020,71817,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2021,72077,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2022,73130,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2023,76127,"adults","2-64","5-18","15-44","15-30"
"East of England",16,2024,76127,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2001,64803,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2002,67237,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2003,67220,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2004,68921,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2005,71992,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2006,72137,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2007,72931,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2008,74965,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2009,73476,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2010,73273,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2011,75249,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2012,72899,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2013,73005,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2014,72984,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2015,71629,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2016,71309,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2017,69620,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2018,68893,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2019,68564,"adults","2-64","5-18","15-44","15-30"
"East of England",17,2020,69227,"adults","2-64","5-18","15-44","15-30"
